comment,date,stars
"I had seven fraudulent Uber transactions over three days in mid-October on my credit card. For nearly a week, I tried unsuccessfully to get Uber customer service to help. Uber was totally uncooperative. They refused to engage in the fraudulent charges someone in their system imposed on me. I had to cancel my credit card, get a new credit card and leave my credit card company to battle awful Uber. Uber buyer beware. I know I will never use their services again.","Oct. 21, 2019",1.0
"Our driver never showed up and Uber cancelled our ride, not us. They charged us a cancellation fee for them cancelling. When I disputed it they would only credit it on future ride instead of refund back to our credit card. Why am I only getting a credit on account instead of a full refund to my credit card used?? This is not right what you have done when it was a Uber error.","Oct. 21, 2019",1.0
"When the service worked, it was good, and tech support responds quickly most of the time. Unfortunately, that doesn't make up for the problems I encountered. The app rejected my credit card and offered no explanation as to why. For some reason it accepted my PayPal even though it uses the very card the app had just rejected. It took days of back and forth with tech support to find out that my card ""isn't compatible with their system"", but they refused to be more specific than that and no matter how many times I asked what the exact problem was (ie my bank, the type of card, etc) all they did was rephrase the same answer over and over again with canned responses; repeatedly telling me to check w/ my bank, even after I told them I already had done so.","Oct. 20, 2019",1.0
"Being a responsible driver, I made the decision to use Uber after a few drinks at a local cantina. My friends and I live within a couple miles of each other, so we shared the Uber. I was the second person to be dropped off and my sole set of keys (i.e. car, house, storage, work) fell out of my pocket. I realized I had left them in the backseat almost immediately, but had no way to contact the driver bc, unfortunately, my friend was the one who ordered the ride. My friend contacted him the next day (that was a feat within itself bc Uber drivers are extremely protected), but did not receive a response.","Oct. 18, 2019",1.0
"They didn’t have cars available at Bush International Airport on October 15, 2019 at 9:30 pm. Had to take a taxi. This is the second time I have experienced this, and will be my last as I will use Lyft or a taxi in the future.","Oct. 18, 2019",1.0
"I have been punished for circumstances beyond my control. I have asked repeatedly for someone to tell me what I have done wrong or could have done differently and no one will talk to me about it. You see, I am a driver for Ubereats, and I loved it until Friday night when I had several orders not completed due to circumstances outside of my control. 2 orders could not be delivered because the restaurant wasn't serving the items at that time. ","Oct. 17, 2019",1.0
Upfront pricing not true pricing. Uber pads the bill so much. I've had Uber drivers charge for wait time when they are parked down from my house and I am out on my front porch waiting and watching them. Booking fee $3.05 come on! Toll and surcharges plus time and distance charges. Now they are dropping me off a few blocks from my destination saying they got to take another call. Uber drivers that I have used have showed up at my house wanting a hookup. One driver started groping me on my front porch. Uber customer service is a brick wall. Credited me $3.00 on a ride on Uber Cash. No matter what they do or charge they have an excuse and they are right. When I reported the sexual harassment of the two drivers they suspended my account. They cost more than a taxi and a taxi never has told me to get out and walk the rest of the way. ,"Oct. 14, 2019",1.0
"Drive with Uber you need to get better. I currently drive for Uber but am concerned with some drivers taking advantage of people with disabilities. I had picked up a Uber customer who had a 3 star rating, which to me I thought there was something wrong but still decided to accept the ride. When I picked up the gentleman I realized he was blind. As he got in my car we had a conversation and he told me that I was the quickest pick up he has ever gotten and asked me why. He told me he usually has to keep requesting Ubers over and over. I know why. It’s because the drivers are declining a 3 star rider. I told him it was because I don’t pass up any opportunities to pick people up to get them to their destination. He was the most kindest man I have ever met and I realized that other drivers have given him low ratings just because he had a disability.","Oct. 13, 2019",1.0
"Driver was fine and so was ride. Experience of dealing with getting a coupon for first ride had me looking for a human being to talk to, and was amazed to find there was no one. I think they charge enough to hire customer service of some kind. I couldn't even find a human online.","Oct. 11, 2019",1.0
"Cherry picker???? Asks you where exactly you are going after he picks the order, asks if the lady is going alone, calculates if it is good money and company, then cancels the trip if it is not. You cant review him since the trip hasn't started, so he has pretty nice rate level. Happened to me, not sure how many people he has innocently questioned like that and cancelled the order.","Oct. 6, 2019",1.0
"I had few miles missing on my trip and called customer service for help, verified who I’m to them and explained myself that I was missing few miles and ""can you please check for me."" He said, ""Allow me 2 minutes,"" said ok. He came back, ""Yes you are missing something. Allow me another 2 minutes. Said ok, come back and said, ""No you were paid correctly."" Answered him, ""No worries, please let me talk to a supervisor."" He replied, ""I just answered all your question and no supervisor available."" 4 times tried to get a supervisor on the phone. He refused. His name was Michal and I told him that, ""In America the way things works if you can’t help me I need to escalate my concerns to a supervisor.""","July 24, 2019",1.0
"So I took an Uber to the hospital for a medical procedure at 11:30 in the morning. Then that night at 11:30 at night a random man calls me to tell me he’s here to pick me up for my Uber. I said, ""No, I do not have an Uber now. I am asleep after having surgery."" The next day I see I am charged for that decline of service. I contacted Uber - they tell me they will take the charge off but it is not been taken off so far and I also have been charged twice for the original trip! I know that there is a pending and then there is a regular charge. I have one pending and two FULL charges of almost $40.00.","July 23, 2019",1.0
"The driver incorrectly the wrong pick up time and also the wrong drop off location. This prompted me being overcharged and UBER is refusing to provide a refund for BOTH mistakes. They claim to have ""dealt with my poor experience by dealing with the driver"" but will not give me my money back. They just lost another customer for $7. DONE USE UBER.","July 23, 2019",1.0
"We ordered an Uber car to get to a concert. They said they would be there in four minutes. We received a text he was there. As we went out the driver called that his GSP took him to the wrong place. As we are waiting my friend gets a text the driver cancelled!!! As she was trying to see what happened to the money she had just paid she was charged for the cancellation!!! We didn’t cancel, the driver DID!!! Call a cab. It is quicker & CHEAPER!!!","July 23, 2019",1.0
