,,City,Company,Link,State,Title
monster.com,0,Horsham,Acurian,http://jobview.monster.com:80/Statistical-Analyst-Job-Horsham-PA-142689770.aspx?jobPosition=1,PA,Statistical Analyst
monster.com,1,Hingham,Talbots,http://jobview.monster.com:80/Sr-Analyst-Customer-Marketing-Analytics-Job-Hingham-MA-143224813.aspx?jobPosition=2,MA,Sr. Analyst Customer Marketing Analytics
monster.com,2,Middletown,AT&T - IT/Corporate Support,http://jobview.monster.com:80/Principal-Member-of-Tech-Staff-Labs-Research-User-Defined-Network-Cloud-Job-Middletown-NJ-143227710.aspx?jobPosition=3,NJ,Principal Member of Tech Staff (Labs Research User Defined Network Cloud)
monster.com,3,Atlanta,CyberCoders,http://jobview.monster.com:80/Data-Scientist-Predictive-analytics-for-a-agriculture-platform-Job-Atlanta-GA-143151775.aspx?jobPosition=4,GA,Data Scientist - Predictive analytics for a agriculture platform
monster.com,4,Minneapolis,Ameriprise,http://jobview.monster.com:80/Senior-Manager-Digital-Analytics-Job-Minneapolis-MN-143166956.aspx?jobPosition=5,MN,"Senior Manager, Digital Analytics"
monster.com,5,Bloomingdale,"Bridgestone Retail Operations, LLC",http://jobview.monster.com:80/Senior-Statistical-Analyst-Data-Scientist-Job-Bloomingdale-IL-143150375.aspx?jobPosition=6,IL,Senior Statistical Analyst/Data Scientist
monster.com,6,Houston,I.T. Staffing,http://jobview.monster.com:80/Data-Scientist-Job-Houston-TX-143067806.aspx?jobPosition=7,TX,Data Scientist
monster.com,7,San Francisco,Macy's,http://jobview.monster.com:80/Lead-Data-Scientist-Predictive-Analytics-macys-com-Job-San-Francisco-CA-143043435.aspx?jobPosition=8,CA,"Lead Data Scientist, Predictive Analytics (macys.com)"
monster.com,8,Dearborn,Ciber,http://jobview.monster.com:80/Predictive-Text-Modelling-Architect-Job-Dearborn-MI-143062334.aspx?jobPosition=9,MI,Predictive Text Modelling Architect
monster.com,9,Raleigh,MetLife,http://jobview.monster.com:80/Director-Capacity-Performance-Engineering-Distributed-Systems-Job-Raleigh-NC-143013740.aspx?jobPosition=10,NC,Director - Capacity and Performance Engineering - Distributed Systems
monster.com,10,Seattle,T-Mobile,http://jobview.monster.com:80/Sr-Statistician-Job-Seattle-WA-143041615.aspx?jobPosition=11,WA,Sr Statistician
monster.com,11,Century City,Annenberg Foundation,http://jobview.monster.com:80/CRM-Email-Marketing-Associate-Job-Century-City-CA-142490593.aspx?jobPosition=12,CA,CRM / Email Marketing Associate
monster.com,12,Winston Salem,DataMasters,http://jobview.monster.com:80/SQL-DBA-Intermediate-to-Senior-Perm-Direct-Hire-Job-Winston-Salem-NC-143024092.aspx?jobPosition=13,NC,SQL DBA (Intermediate to Senior) - Perm / Direct Hire
monster.com,13,Boca Raton,"Office Depot, Inc.",http://jobview.monster.com:80/Manager-Sr-Manager-Merchandising-Analytics-Reporting-Job-Boca-Raton-FL-143016759.aspx?jobPosition=14,FL,Manager\Sr. Manager Merchandising Analytics & Reporting
monster.com,14,SAN francisco,Cognilytics,http://jobview.monster.com:80/SAP-BW-HANA-Solution-Architect-Job-SAN-francisco-CA-133551769.aspx?jobPosition=15,CA,SAP BW HANA Solution Architect
monster.com,15,Berkeley Heights,Celgene Corporation,http://jobview.monster.com:80/Manager-IT-Qlikview-Spotfire-Job-Job-Berkeley-Heights-NJ-142947627.aspx?jobPosition=16,NJ,"Manager, IT Qlikview/Spotfire Job"
monster.com,16,Draper,Progressive Leasing,http://jobview.monster.com:80/Sr-Database-Engineer-Job-Draper-UT-142977805.aspx?jobPosition=17,UT,Sr. Database Engineer
monster.com,17,Purchase,Kforce Inc,http://jobview.monster.com:80/AVP-Wealth-Management-Data-Analytics-Metrics-Job-Purchase-NY-142981289.aspx?jobPosition=18,NY,"AVP Wealth Management, Data Analytics and Metrics"
monster.com,18,Chicago,"FCB Worldwide, Inc.",http://jobview.monster.com:80/VP-Director-of-Strategic-Analytics-Job-Chicago-IL-142923058.aspx?jobPosition=19,IL,"VP, Director of Strategic Analytics"
monster.com,19,Boston,Brainworks,http://jobview.monster.com:80/Director-Advanced-Analytics-Job-Boston-MA-138646518.aspx?jobPosition=20,MA,Director Advanced Analytics
monster.com,20,Columbus,TOP Consulting,http://jobview.monster.com:80/OBIEE-Developer-Job-Columbus-OH-142832438.aspx?jobPosition=21,OH,OBIEE Developer
monster.com,21,Chicago,Kemper Services Group,http://jobview.monster.com:80/Data-Scientist-Job-Chicago-IL-142851442.aspx?jobPosition=22,IL,Data Scientist
monster.com,22,Palo Alto,Robert Bosch LLC,http://jobview.monster.com:80/Research-Engineer-Big-Data-Systems-Job-Palo-Alto-CA-142788010.aspx?jobPosition=23,CA,Research Engineer - Big Data Systems
monster.com,23,San Francisco,HireMinds,http://jobview.monster.com:80/Data-Scientist-Job-San-Francisco-CA-142803839.aspx?jobPosition=24,CA,Data Scientist
monster.com,24,Foster City,EchoStar,http://jobview.monster.com:80/Sr-Staff-Data-Analyst-Job-Foster-City-CA-142142599.aspx?jobPosition=25,CA,Sr/Staff Data Analyst
monster.com,25,Philadelphia,"Analytic Recruiting, Inc.",http://jobview.monster.com:80/Data-Scientist-Job-Philadelphia-PA-142653875.aspx?jobPosition=1,PA,Data Scientist
monster.com,26,Nashville,"MarketPro, Inc.",http://jobview.monster.com:80/Director-Business-Intelligence-Analytics-Job-Nashville-TN-142603962.aspx?jobPosition=2,TN,"Director, Business Intelligence and Analytics"
monster.com,27,Saint Louis,The Judge Group,http://jobview.monster.com:80/STATISTICIAN-Job-Saint-Louis-MO-142436177.aspx?jobPosition=3,MO,STATISTICIAN
monster.com,28,Seattle,Posh Consulting,http://jobview.monster.com:80/Statistical-Forecast-Scientist-Seattle-WA-Job-seattle-WA-116749970.aspx?jobPosition=4,WA,"Statistical Forecast Scientist (Seattle , WA)"
monster.com,29,Chicago,Kemper,http://jobview.monster.com:80/Data-Scientist-Job-Chicago-IL-142366988.aspx?jobPosition=5,IL,Data Scientist
monster.com,30,Irving,Yasmesof Inc,http://jobview.monster.com:80/Data-Scientist-Data-Analyst-with-SAS-predictive-analytics-Job-Irving-TX-142288240.aspx?jobPosition=6,TX,Data Scientist / Data Analyst with SAS and predictive analytics
monster.com,31,Naples,"Arthrex Manufacturing, Inc.",http://jobview.monster.com:80/Sr-Manufacturing-Engineer-Molding-Process-Job-Naples-FL-142181007.aspx?jobPosition=7,FL,Sr. Manufacturing Engineer - Molding Process
monster.com,32,Chicago,IGATE,http://jobview.monster.com:80/SAS-JMP-Lead-Job-Chicago-IL-142016020.aspx?jobPosition=8,IL,SAS JMP Lead
monster.com,33,New York,MediaCom,http://jobview.monster.com:80/Business-Intelligence-Manager-Marketing-Analytics-Leader-needed-for-Media-Powerhouse-Job-New-York-NY-141166413.aspx?jobPosition=9,NY,Business Intelligence Manager - Marketing Analytics Leader needed for Media Powerhouse
monster.com,34,Columbia,JHUAPL,http://jobview.monster.com:80/Maritime-Threat-Operations-Assessment-Analyst-Job-Columbia-MD-140805427.aspx?jobPosition=10,MD,Maritime Threat and Operations Assessment Analyst
