address,area,book_table,can_order_via_zomato,cost_for_two,cuisine,delivery_reviews,dining_reviews,discount,featured_in,has_menu_available,location,min_amnt_for_discount,rating,res_link,rest_name,rest_type,review_rating,reviews
" G66, Baani Square, Sector 50, Gurgaon","Baani Square, Sector 50",0,Yes,Rs. 500,"Bakery,, ,Desserts,, ,Beverages","15,6",,,Sweet Tooth,1,,,4.2,https://www.zomato.com/ncr/the-cake-story-sector-50-gurgaon,"The Cake Story
                                    ",Bakery,"5.0,1.0,5.0,5.0,1.0","Thanks Cake story for always being part of our celebrations ,Half my order came and no one responded on the phone, neither Zomato could fix the issue and cake story chose to ignore completely ,It's so much delicious cake. I love it. ,I loved this cake it was so delicious, you guys made our day ,exotic pineapple cake is just awesome❤❤,Pathetic service and tasteless cake.after reading reviews I ordered cake for my son 1st birthday."
" C-9/17, Yamuna Vihar, Shahdara, New Delhi",Shahdara,0,Yes,Rs. 600,"North Indian,, ,Chinese,, ,South Indian","29,2",1812,,,1,,,"4.2,3.9",https://www.zomato.com/ncr/zaika-e-dilli-shahdara-new-delhi,"Zaika-E-Dilli
                                    ",Casual Dining,"1.0,5.0,5.0,5.0,5.0",
" Near Heera Panna Mall, Link Road, Oshiwara, Andheri West, Mumbai","Oshiwara, Andheri West",0,Yes,Rs. 600,"North Indian,, ,Mughlai,, ,Chinese,, ,Biryani,, ,Fast Food,, ,Desserts","87,5",3524,,Value For Money,1,,,"4.1,3.9",https://www.zomato.com/mumbai/cafe-safar-oshiwara,"Cafe Safar
                                    ",Casual Dining,"4.0,5.0,1.0,2.0,5.0","They have a small simple restaurant which I haven’t visited but their Indian dishes are delicious if your looking to order in.Love love love their tandoori chicken and chicken tikkas ! Extremely juicy and flavourful not dry and tasteless like you get at most places. Also they don’t take too long to get your order ready!,The food sucks. And well they chose to send me chicken lollipops along with my order while I’m a pure vegetarian. No responsibility taken! Don’t choose it,We ordered prawns special, chicken Sukha ,and mutton. ,Prawns were smelling bad as we opened the box and threw it right away. ,Chicken was under cooked , pathetic in quality,Mutton was half filled with oil. "
" Accord Nidhi, Near Palm Court, Link Road, Malad West, Mumbai",Malad West,0,Yes,Rs. 300,"Mithai,, ,Street Food","9,042",835,,,1,,,"4.1,4.4",https://www.zomato.com/mumbai/bikaji-food-junxon-malad-west,"Bikaji Food Junxon
                                    ",Sweet Shop,"2.0,5.0,4.0,4.0,4.0",
" More Super Market, Opposite VIMS Hospital, Outer Ring Road, Marathahalli, Bangalore","More MegaStore, Marathahalli",0,Yes,Rs. 450,"Burger,, ,Fast Food,, ,Finger Food,, ,Beverages","8,201",763,,,1,,,"4.1,3.5",https://www.zomato.com/bangalore/kfc-marathahalli,"KFC
                                    ",Quick Bites,"5.0,5.0,4.0,4.0,3.0",
" 15 & 16, Srinivasareddy Building, Lakshmi Narayana Temple Road, Manjunatha Layout, Munnekolla, Marathahalli, Bangalore",Marathahalli,0,Yes,Rs. 300,"Biryani,, ,Andhra,, ,South Indian","35,7",,40,,1,,,3.6,https://www.zomato.com/bangalore/sri-jayadurga-biryani-marathahalli-bangalore,"Sri Jayadurga Biryani
                                    ",Biryani,"4.0,4.0,1.0,1.0,5.0",
 Delivery Only,"Sector 7, Dwarka",0,Yes,Rs. 450,"Momos,, ,Chinese","29,9",,,,1,,,3.9,https://www.zomato.com/ncr/kc-restaurant-sector-7-dwarka-new-delhi,"KC Restaurant
                                    ",Momos,"4.0,5.0,5.0,5.0,4.0","Hay friends agar aap log kc nahin Gaye momos khane then you have missed really the good momos because You loved the chicken momo tandoori momo everything out there specially for the Chinese food it's the bestest much better than a five star restaurant,It is a lovely outlet to enjoy variety of dishes.,So there is no sitting arrangement and is always full of people whenever you go, because of its popularity.,Kc special spring roll are must to try.,Love this place!,Best place for my sudden chinese cravings.,In frame- tandoori momos,Review- 5/5,My brother ordered tandoori momos from kc restaurant and we just love it 🤤 and the sauce they give with it with amazing 👌 and mouthwatering 🙂 must try their tandoori momos #momoslove"
" Shop 41, Building 3, Poonam Estate Cluster 2, Shanti Park Layout, Opposite Surya Shopping Center, Mira Road, Mumbai",Mira Road,0,Yes,Rs. 400,"Bakery,, ,Desserts",491,,,,1,,,4.4,https://www.zomato.com/mumbai/cake-nation-mira-road,"Cake Nation
                                    ",Bakery,"5.0,5.0,5.0,5.0,5.0","The best mango cake I ever had. The cake was so fresh and delicious. Will surely order again,I never rate when i order from zomato but todays cake was realy very yummy. It was soft and fresh. AmaZing Alphanso mango cake. 😍 I'll recommend my friends too to order from here. Delivery was also Amazing clean and safe 😍,[CAKE NATION],It's one of the good bakery they used to make quality of Dessert,Pastry,Cake.,TASTY : 5/5,   QUALITY: 5/5,   QUANTITY:4/5,    PRICE : 4/5, ,MUST VISIT ONCE!!!,Delicios cakes  ,We ordered a mango chocolate cake which was amazing..we could actually taste the alphonso mango and not artificial flavouring.."
" 534/536, Dhobitalao, Lohar Chawl, Near Metro Theatre, Kalbadevi, Mumbai",Kalbadevi,0,Yes,Rs. 800,"Mughlai,, ,North Indian,, ,Chinese,, ,Seafood","4,605",1007,30,,1,,,"4.0,3.9",https://www.zomato.com/mumbai/mao-family-restaurant-kalbadevi,"Mao Family Restaurant
                                    ",Casual Dining,"4.0,1.0,4.0,5.0,4.0","Mao has a good variety in its menu. But i personally think kepsa is the most famous dish in the menu that the restaurant is been known for it. It a good place with normal and AC sitting the prices vary depending where you sit. I ordered a large chicken tikka kepsa. This is enough for a group of 6. Taste wise i give it a 5/5💫. ,No words to say....not expecting this from Mao Chinese.U can come and eat this its like wasting my money just for seeing the food to be wasted infront of me😡,Kepsas tastes absolutely fantastic.no doubt about the Chinese menu they are always mouth watering except the chicken lolipops once I had I think they made a mistake and gave me a veg lolipop and also I had a veg sekh kebab platter it was not good vegetarians can find another restaurant,I order from here frequently any dish u order is pocket friendly. Also are good in quality and quantity also never eat veg here good if u are a non vegetarian.food tastes good here "
" 124, KHB Colony, 1st Cross, Near Jyothi Nivas College, Koramangala 5th Block, Bangalore",Koramangala 5th Block,0,Yes,Rs. 600,"Biryani,, ,Andhra,, ,North Indian,, ,Seafood","44,9",7868,,Brilliant Biryanis,1,,,"4.3,4.2",https://www.zomato.com/bangalore/meghana-foods-koramangala-5th-block,"Meghana Foods
                                    ",Casual Dining,"1.0,5.0,5.0,5.0,1.0",
