dealer_name,contact,address
"SunSouth, LLC - Tuscaloosa","Sales, Store Manager, cbarnett@sunsouth.com","3610 Skyland Blvd. East, Tuscaloosa, AL 35405, 
, 
, 
"
"SunSouth, LLC - Samson","Sales, Sales, screws@sunsouth.com","3 West Main Street, Samson, AL 36477, 
, 
, 
"
Enviro Services Supply - Farmerville,"Jonathan Ware, jonathan@enviroservicesllc.com","901 Hudson Road, Farmerville, LA 71241, 
, 
, 
"
"SunSouth, LLC - Mobile","Sales, Store Manager, ddevine@sunsouth.com","8420 Tanner Williams Rd., Mobile, AL 36608, 
, 
, 
"
"SunSouth, LLC - Montgomery","Sales, Sales, rhayes@sunsouth.com","1975 Forbes Drive, Montgomery, AL 36110, 
, 
, 
"
Sydenstricker Nobbe Partners Salisbury,"Lucas Daniel, Used Sales, usedequipment@snpartners.com","209 West 2nd Street, Salisbury, MO 65281, 
, 
, 
"
Pittsfield Lawn & Tractor - Pittsfield,"Sales AG & Heavy Equipment Sales, Sales@plt.com","1548 W. Housatonic St., Pittsfield, MA 01201, 
, 
, 
"
The Farm Shop,"Bryce Dixson, bryce.dixson26@gmail.com","54618 State HWY 6 , Edina, MO 63537, 
, 
, 
"
Goldman Equipment L.L.C. - Winnsboro,"Hutton Parker, hparker@goldmangreen.com","5365 Highway 15, Winnsboro, LA 71295, 
, 
, 
"
American Implement - Hugoton,"Sales Department, gabe@americanimplement.com","East Hwy. 51, Hugoton, KS 67951, 
, 
, 
"
Sydenstricker Nobbe Partners - Scott City,"Lucas Daniel, Used Equipment, usedequipment@snpartners.com","1400 E Outer Rd. N, Scott City, MO 63780, 
, 
, 
"
Heritage Tractor - Baldwin City,"Sales Department, hti@heritagetractor.com","915 Industrial Park Road, Baldwin City, KS 66006, 
, 
, 
"
Sydenstricker Nobbe Partners - Ste. Genevieve,"Lucas Daniel, Used Equipment, usedequipment@snpartners.com","12615 State Rt A, Ste. Genevieve, MO 63670, 
, 
, 
"
Flint Equipment Company - Sylvester,"Sales Department, eclaxton@flintequipco.com","606 S Main Street, Sylvester, GA 31791, 
, 
, 
"
Sydenstricker Nobbe Partners Tipton,"Lucas Daniel, Used Sales, UsedEquipment@snpartners.com","31217 Highway 5, Tipton, MO 65081, 
, 
, 
"
Titan Machinery - Winger,"Sales Department, leadmanagement@titanmachinery.com","207 S Borud St., Winger, MN 56592, 
, 
, 
"
Titan Machinery - Shakopee,"Sales Department, leadmanagement@titanmachinery.com","6340 County Road 101 East, Shakopee, MN 55379, 
, 
, 
"
Cole Implement Inc. - Media,"Sales Department, coleimp@yahoo.com","975 N Hwy 116, Media, IL 61460, 
, 
, 
"
AHW - Dwight,"AHW Sales, machinerypete@ahwllc.com","27688 East 3200 North Road, Dwight, IL 60420, 
, 
, 
"
"Franzen Sales & Service, LTD. - Fort Atkinson",Sales Department,"2724 State Hwy. 24, Fort Atkinson , IA 52144, 
, 
, 
"
Cornwell Equipment & Irrigation,Ron Cornwell,"420 North Hickory, Arthur, IL 61911, 
, 
, 
"
AgriVision Equipment - Hamburg,"Sales Department, matt.raasch@agrivisionequipment.com","3106 274th Ave., Hamburg, IA 51640, 
, 
, 
"
"Cross Implement, Inc. - Minier","Brad Cross, Sales Manager, bradcross@crossimp.com","703 S Minier Ave., Minier, IL 61759, 
, 
, 
"
Robinson Implement - Irwin,"Sales Department, 	robinsonimplement8@gmail.com","2002 Street F24 Box 257, Irwin, IA 51446, 
, 
, 
"
Titan Machinery - Des Moines,"Sales Department, leadmanagement@titanmachinery.com","2290 54th Ave. NE, Des Moines, IA 50313, 
, 
, 
"
Titan Machinery - Greenfield,"Sales Department, leadmanagement@titanmachinery.com","2114 State Hwy. 92, Greenfield, IA 50849, 
, 
, 
"
Vetter Equipment - Shenandoah,"Sales Department, sales@vetterequip.com","1308 West Ferguson Road, Shenandoah, IA 51601, 
, 
, 
"
Central Iowa Farm Store - Marshalltown,"Todd Casady, Owner, todd@centraliowafarmstore.com","203 Iowa Ave West, Marshalltown, IA 50158, 
, 
, 
"
Weisberg Implement & Supply - Webster City,"Sales Department, larry@weisbergimp.com","510 Des Moines Street, Webster City, IA 50595, 
, 
, 
"
Vetter Equipment - Mount Ayr,"Sales Department, sales@vetterequip.com","1703 W South St., Mount Ayr, IA 50854, 
, 
, 
"
Vetter Equipment - Nevada,"Sales Department, sales@vetterequip.com","23941 590th Ave., Nevada, IA 50201, 
, 
, 
"
Vetter Equipment - Missouri Valley,"Dean Buseman, jfoulk@vetterequip.com","1907 Us-30 , Missouri Valley , IA 51555, 
, 
, 
"
Vetter Equipment - Onawa,"Sales Department, sales@vetterequip.com","2310 Iowa Ave., Onawa, IA 51040, 
, 
, 
"
Vetter Equipment - Indianola,"Sales Department, sales@vetterequip.com","9983 Hwy. 92, Indianola, IA 50125, 
, 
, 
"
Vetter Equipment - Clarinda,"Sales Department, sales@vetterequip.com","1020 S 12th St., Clarinda, IA 51632, 
, 
, 
"
Vetter Equipment - Corydon,"Sales Department, sales@vetterequip.com","2503 Hwy. 2 E, Corydon, IA 50060, 
, 
, 
"
Vetter Equipment - Ida Grove,"Sales Department, sales@vetterequip.com","2552 Landmark Ave., Ida Grove, IA 51445, 
, 
, 
"
Vetter Equipment - Storm Lake,"Sales Department, sales@vetterequip.com","135 Prairie Rd., Storm Lake, IA 50588, 
, 
, 
"
Vetter Equipment - Denison,"Sales Department, sales@vetterequip.com","610 14th Ave. S, Denison, IA 51442, 
, 
, 
"
Van Wall Equipment  - Toledo,"Sales Department, Mark.See@vanwall.com","1962 Highway E29, Toledo, IA 52342, 
, 
, 
"
Van Wall Equipment - Sac City,"Sales Department, Mark.See@vanwall.com","Highway 20 East, Sac City, IA 50583, 
, 
, 
"
Van Wall Equipment - Story City,"Sales Department, Mark.See@vanwall.com","455 West Broad St., Story City, IA 50248, 
, 
, 
"
Van Wall Equipment - Urbandale,"Sales Department, Mark.See@vanwall.com","10100 Dennis Drive, Urbandale, IA 50322, 
, 
, 
"
Vetter Equipment - Audubon,"Sales Department, sales@vetterequip.com","1871 Hwy. 71 N, Audubon, IA 50025, 
, 
, 
"
Van Wall Equipment - Perry,"Sales Department, Mark.See@vanwall.com","22728 141st Drive, Perry, IA 50220, 
, 
, 
"
Van Wall Equipment - Oskaloosa,"Sales Department, Mark.See@vanwall.com","1402 South 17th St., Oskaloosa, IA 52577, 
, 
, 
"
Van Wall Equipment - Nevada,"Sales Department, Mark.See@vanwall.com","1468 West A Avenue, Nevada, IA 50201, 
, 
, 
"
Van Wall Equipment  - Marshalltown,"Sales Department, Mark.See@vanwall.com","3006 S Center St., Marshalltown, IA 50158, 
, 
, 
"
Van Wall Equipment - Iowa Falls,"Sales Department, Mark.See@vanwall.com","14460 Highway 65, Iowa Falls, IA 50126, 
, 
, 
"
Van Wall Equipment - Hubbard,"Sales Department, Mark.See@vanwall.com","324 West Maple, Hubbard, IA 50122, 
, 
, 
"
Van Wall Equipment - Madrid,"Sales Department, Mark.See@vanwall.com","1872 330th Street, Madrid, IA 50156, 
, 
, 
"
Van Wall Equipment - Indianola,"Sales Department, Mark.See@vanwall.com","1306 S Jefferson Way, Indianola, IA 50125, 
, 
, 
"
Van Wall Equipment - Knoxville,"Sales Department, Mark.See@vanwall.com","1556 Highway 14, Knoxville, IA 50138, 
, 
, 
"
Van Wall Equipment - Hampton,"Sales Department, Mark.See@vanwall.com","1611 Highway 65, Hampton, IA 50441, 
, 
, 
"
Van Wall Equipment - Grundy Center,"Sales Department, Mark.See@vanwall.com","1502 G Avenue, Grundy Center, IA 50638, 
, 
, 
"
Van Wall Equipment  - Grinnell,"Sales Department, Mark.See@vanwall.com","1318 West St. S, Grinnell, IA 50112, 
, 
, 
"
